name,address,location,price,cuisine,longitude,latitude,award,greenstar,country,city,is_global_hub,is_native,restaurant_density,star_level,recog_level,is_starred,award_level
The Plough,"Main Street, Wombleton, YO62 7RW, United Kingdom","Wombleton, United Kingdom",3,Traditional Cuisine,-0.9746423,54.2476502,Selected Restaurants,0,United Kingdom,Wombleton,0,0,2,0,1,0,1
The Baiting House,"Upper Sapey, WR6 6XT, United Kingdom","Upper Sapey, United Kingdom",2,Modern British,-2.4636131,52.2657198,Selected Restaurants,0,United Kingdom,Upper Sapey,0,1,1,0,1,0,1
George V,"Ashford Castle, Cong, F31 CA48, Ireland","Cong, Ireland",4,Classic Cuisine,-9.2852897,53.5345265,Selected Restaurants,0,Ireland,Cong,0,0,0,0,1,0,1
Pichet,"14-15 Trinity Street, Dublin City, D02 T998, Ireland","Dublin City, Ireland",3,French,-6.2622465,53.3438552,Selected Restaurants,0,Ireland,Dublin City,0,0,42,0,1,0,1
Cora Pearl,"30 Henrietta Street, Covent Garden, London, WC2E 8NA, United Kingdom","London, United Kingdom",2,British Contemporary,-0.1236215,51.5112511,Selected Restaurants,0,United Kingdom,London,1,1,283,0,1,0,1
Bob Bob Ricard City,"Level 3, 122 Leadenhall Street, City of London, London, EC3V 4AB, United Kingdom","London, United Kingdom",3,French,-0.082071,51.51362,Selected Restaurants,0,United Kingdom,London,1,0,254,0,1,0,1
Chakra by Jaipur,"Meridian Point Centre, Church Road, Greystones, A63 HD43, Ireland","Greystones, Ireland",2,Indian,-6.0628053,53.1442407,Selected Restaurants,0,Ireland,Greystones,0,0,1,0,1,0,1
The Duck Restaurant,"Marlfield House Hotel, Courtown Road, Gorey, Y25 DK23, Ireland","Gorey, Ireland",2,International,-6.2745367,52.6688292,Selected Restaurants,0,Ireland,Gorey,0,0,1,0,1,0,1
The Pig's Ear,"4 Nassau Street, Dublin City, D02 YX74, Ireland","Dublin City, Ireland",2,Irish,-6.2549523,53.3421542,Selected Restaurants,0,Ireland,Dublin City,0,1,42,0,1,0,1
Tyddyn Llan,"Llandrillo, LL21 0ST, United Kingdom","Llandrillo, United Kingdom",4,Modern Cuisine,-3.44329,52.92405,Selected Restaurants,0,United Kingdom,Llandrillo,0,0,2,0,1,0,1
Owenmore,"Ballynahinch Castle, Recess, Connemara, Ballynahinch, H91 F4A7, Ireland","Ballynahinch, Ireland",4,Modern Cuisine,-9.8630973,53.4601314,Selected Restaurants,0,Ireland,Ballynahinch,0,0,0,0,1,0,1
James St,"19-21 James Street South, Belfast, BT2 7GA, United Kingdom","Belfast, United Kingdom",2,Modern British,-5.9327077,54.5954239,Selected Restaurants,0,United Kingdom,Belfast,0,1,10,0,1,0,1
Bryn Williams at Porth Eirias,"The Promenade, Colwyn Bay, LL29 8HH, United Kingdom","Colwyn Bay, United Kingdom",2,Modern British,-3.7176795,53.2953743,Selected Restaurants,0,United Kingdom,Colwyn Bay,0,1,0,0,1,0,1
Seafood Ristorante,"Bruce Embankment, The Scores, St Andrews, KY16 9AB, United Kingdom","St Andrews, United Kingdom",4,Seafood,-2.800284,56.3438203,Selected Restaurants,0,United Kingdom,St Andrews,0,0,2,0,1,0,1
Melton's,"7 Scarcroft Road, York, YO23 1ND, United Kingdom","York, United Kingdom",3,Modern British,-1.0858284,53.9508755,Selected Restaurants,0,United Kingdom,York,0,1,7,0,1,0,1
The Star Inn The City,"Lendal Engine House, Museum Street, York, YO1 7DR, United Kingdom","York, United Kingdom",2,Modern British,-1.0872808,53.9605702,Selected Restaurants,0,United Kingdom,York,0,1,7,0,1,0,1
Freemasons,"8 Vicarage Fold, Wiswell, BB7 9DF, United Kingdom","Wiswell, United Kingdom",3,Modern British,-2.3887525,53.8320501,Selected Restaurants,0,United Kingdom,Wiswell,0,1,2,0,1,0,1
Gilpin Spice,"The Gilpin Hotel, Crook Road, Bowness-on-Windermere, LA23 3NE, United Kingdom","Bowness-on-Windermere, United Kingdom",2,"Asian, Fusion",-2.8805472,54.3549349,Selected Restaurants,0,United Kingdom,Bowness-on-Windermere,0,0,3,0,1,0,1
The Conservatory,"Titchwell, PE31 8BB, United Kingdom","Titchwell, United Kingdom",3,Modern Cuisine,0.6187874,52.9616837,Selected Restaurants,0,United Kingdom,Titchwell,0,0,0,0,1,0,1
Upstairs at the Mill,"Tuddenham Mill, High Street, Tuddenham, IP28 6SQ, United Kingdom","Tuddenham, United Kingdom",3,Modern Cuisine,0.5406956,52.3160944,Selected Restaurants,0,United Kingdom,Tuddenham,0,0,0,0,1,0,1
Salty Monk,"Church Street, Sidford, EX10 9QP, United Kingdom","Sidford, United Kingdom",3,Regional Cuisine,-3.2236177,50.7029291,Selected Restaurants,0,United Kingdom,Sidford,0,0,0,0,1,0,1
Rafters Restaurant,"220 Oakbrook Road, Nether Green, Sheffield, S11 7ED, United Kingdom","Sheffield, United Kingdom",4,Modern British,-1.5248721,53.3683908,Selected Restaurants,0,United Kingdom,Sheffield,0,1,1,0,1,0,1
St Kew Inn,"Bodmin, Cornwall, St Kew, PL30 3HB, United Kingdom","St Kew, United Kingdom",2,Traditional British,-4.7937332,50.5586545,Selected Restaurants,0,United Kingdom,St Kew,0,1,2,0,1,0,1
Rocpool,"1 Ness Walk, Inverness, IV3 5NE, United Kingdom","Inverness, United Kingdom",3,Modern British,-4.2283313,57.4767633,Selected Restaurants,0,United Kingdom,Inverness,0,1,0,0,1,0,1
The Hut,"Colwell Chine Road, Colwell Bay, Freshwater, PO40 9NP, United Kingdom","Freshwater, United Kingdom",2,"Modern Cuisine, Seafood",-1.5391706,50.6897236,Selected Restaurants,0,United Kingdom,Freshwater,0,0,2,0,1,0,1
Gordon's,"Main Road, Inverkeilor, DD11 5RN, United Kingdom","Inverkeilor, United Kingdom",4,Modern Cuisine,-2.5480789,56.6350875,Selected Restaurants,0,United Kingdom,Inverkeilor,0,0,0,0,1,0,1
Bistrot Verite,"7 Liverpool Road, Birkdale, Southport, PR8 4AR, United Kingdom","Southport, United Kingdom",2,Classic French,-3.0135881,53.6342034,Selected Restaurants,0,United Kingdom,Southport,0,0,0,0,1,0,1
Shell Bay,"Ferry Road, Studland, BH19 3BA, United Kingdom","Studland, United Kingdom",3,Seafood,-1.9514966,50.6784605,Selected Restaurants,0,United Kingdom,Studland,0,0,1,0,1,0,1
